fund_long_name,initial_investment,fund_category,management_name
BNY Mellon Natural Resources Fund Class Y,1000000,Allocation--30% to 50% Equity,Albert Chu
DoubleLine Core Fixed Income Fund Class N,1000000,Allocation--50% to 70% Equity,Jeffrey J. Sherman
Delaware Healthcare Fund Class A,1000000,Allocation--85%+ Equity,Liu-Er Chen
Delaware Mid Cap Value Fund Class R,1000000,Bank Loan,Christopher G. Beck
Delaware Investments Ultrashort Fund Class L,1000000,Intermediate Core Bond,Stephen Juszczyszyn
BNY Mellon AMT-Free Municipal Bond Fund - Class I,1000000,Mid-Cap Blend,Daniel C. Rabasco
Destinations Municipal Fixed Income Fund Class Z,1000000,Large Growth,Dusty H. Self
BNY Mellon MidCap Index Fund Class I,1000000,Large Blend,Marlene Walker-Smith
DFA MN Municipal Bond Portfolio Institutional Class,1000000,Small Growth,Travis A. Meldau
Destinations Multi Strategy Alternatives Fund Class Z,1000000,Small Blend,David Weeks
BNY Mellon Short-Intermediate Municipal Bond Fund Class Y,1000000,Foreign Small/Mid Growth,Jeffrey C. Burger
Dunham Focused Large Cap Growth Fund Class N,1000000,Multisector Bond,Scott L. O'Gorman
BNY Mellon Active MidCap Fund - Class C,1000000,Energy Limited Partnership,Syed T. Zamil
BNY Mellon Active MidCap Fund - Class A,1000000,Energy Limited Partnership,Syed T. Zamil
BNY Mellon Active MidCap Fund - Class I,1000000,Energy Limited Partnership,Syed T. Zamil
Dunham Large Cap Value Fund Class N,1000000,Energy Limited Partnership,Paul Roukis
BNY Mellon Active MidCap Fund - Class Y,1000000,Small Blend,Syed T. Zamil
Jackson Square Select 20 Growth Fund IS Class,1000000,Small Growth,Greg S. Chory
Deer Park Total Return Credit Fund Class C,1000000,Mid-Cap Value,Michael Craig-Scheckman
BNY Mellon Connecticut Fund Class Z,1000000,Muni Single State Interm,Jeffrey Burger
Delaware Global Listed Real Assets Fund Institutional Class,1000000,Tactical Allocation,JÃ¼rgen Wurzer
BNY Mellon Structured Midcap Fund - Class A,1000000,Allocation--70% to 85% Equity,Syed T. Zamil
BNY Mellon Structured Midcap Fund Class I,1000000,Tactical Allocation,Syed T. Zamil
BNY Mellon Tax Managed Growth Fund Class C,1000000,Tactical Allocation,Christopher B. Sarofim
BNY Mellon U.S. Equity Fund Class A,1000000,Allocation--70% to 85% Equity,Charles Macquaker
BNY Mellon U.S. Mortgage Fund Class Z,1000000,World Bond,Karen Gemmett
Domini Impact Bond Fund Investor Shares,1000000,Global Real Estate,Campe Goodman
Delaware Small Cap Growth Fund Institutional Class,1000000,Ultrashort Bond,W. Alexander L. Ely
Driehaus Small/Mid Cap Growth Fund,1000000,Ultrashort Bond,Jeffrey James
Destinations Small-Mid Cap Equity Fund Class I,1000000,Ultrashort Bond,Prakash Vijayan
Dimensional 2065 Target Date Retirement Income Fund Institutional Class,1000000,Tactical Allocation,Jed S. Fogdall
Wilshire Large Company Growth Portfolio Investment Class Shares,1000000,Ultrashort Bond,Aziz V. Hamzaogullari
DFA Tax Managed International Value Portfolio,1000000,Intermediate Government,Jed S. Fogdall
DFA U.S. Large Cap Growth Portfolio Institutional Class,1000000,Inflation-Protected Bond,Joel P. Schneider
Delaware Small Cap Value Fund Class R,1000000,Tactical Allocation,Christopher G. Beck
Delaware Minnesota High-Yield Municipal Bond Fund Class A,1000000,Tactical Allocation,Stephen J. Czepiel
Delaware Minnesota High-Yield Municipal Bond Fund Class C,1000000,Tactical Allocation,Stephen J. Czepiel
"BNY Mellon Research Growth Fund, Inc. Class I",1000000,Corporate Bond,Leigh N. Todd
Gabelli Enterprise Mergers and Acquisitions Fund Class AAA,1000000,Target-Date 2030,Mario J. Gabelli
Wells Fargo Asset Allocation Fund - Class Inst,1000000,Target-Date 2030,Christian L. Chan
First Eagle Global Income Builder Fund Class R5,1000000,Target-Date Retirement,Sean Slein
Parametric TABS Short-Term Municipal Bond Fund Class A,1000000,Trading--Inverse Equity,James H. Evans
Eaton Vance California Municipal Opportunities Fund Class A,1000000,Target-Date Retirement,Craig Robert Brandon
Eaton Vance Tax-Managed Global Dividend Income Fund Class A,1000000,Small Growth,John H. Croft
Eaton Vance Atlanta Capital Focused Growth Fund Class C,1000000,Nontraditional Bond,Joseph B. Hudepohl
Eaton Vance Taxable Municipal Bond Fund Class A,1000000,Small Value,Cynthia J. Clemson
Eaton Vance Floating-Rate Municipal Income Fund Advisers Class,1000000,Muni Single State Short,Adam A. Weigold
Eaton Vance National Municipal Income Fund Class A,1000000,Muni Single State Short,Craig Robert Brandon
Eaton Vance Richard Bernstein All Asset Strategy Fund Class A,1000000,Corporate Bond,Matthew Griswold
First Eagle Global Fund Class R3,1000000,Corporate Bond,Matthew McLennan
First Eagle Overseas Fund Class R3,1000000,Corporate Bond,Matthew McLennan
Eaton Vance South Carolina Municipal Income Fund Class A,1000000,Small Value,Adam A. Weigold
MFS Massachusetts Investors Trust Class 529B,1000000,Muni California Intermediate,T. Kevin Beatty
American Funds Emerging Markets Bond Fund Class A,1000000,Muni California Intermediate,Luis H. Freitas de Oliveira
Eaton Vance Greater China Growth Fund Class C,1000000,Small Blend,June Lui
Eaton Vance Tax-Managed Multi-Cap Growth Fund Class C,1000000,Small Blend,Yana S. Barton
Ashmore Emerging Markets Corporate Income Fund Class C,1000000,Commodities Broad Basket,Mark Coombs
Eaton Vance Tax-Managed Global Dividend Income Fund Class C,1000000,Commodities Broad Basket,John H. Croft
Eaton Vance Tax-Managed Equity Asset Allocation Fund Class C,1000000,Commodities Broad Basket,Lewis R. Piantedosi
MFS Mid Cap Growth Fund Class 529C,1000000,Corporate Bond,Eric Braz
Eaton Vance Balanced Fund Class C,1000000,Commodities Broad Basket,Charles B. Gaffney
Parametric Tax-Managed International Equity Fund Class C,1000000,Commodities Broad Basket,Paul W. Bouchey
Eaton Vance Global Bond Fund Class C,1000000,Commodities Broad Basket,Kyle Lee
MFS Massachusetts Investors Trust Class 529C,1000000,Commodities Broad Basket,T. Kevin Beatty
Eaton Vance North Carolina Municipal Income Fund Class C,1000000,Muni California Long,Adam A. Weigold
Eaton Vance New Jersey Municipal Income Fund Class C,1000000,Muni California Long,Adam A. Weigold
Eaton Vance Tax-Managed Growth 1.1 Fund Class C,1000000,Multisector Bond,Lewis R. Piantedosi
MFS Value Fund Class 529C,1000000,World Allocation,Nevin P. Chitkara
Aberdeen International Real Estate Equity Fund Class A,1000000,Short-Term Bond,Toshio Tangiku
Wells Fargo Large Cap Core Fund - Class A,1000000,Target-Date 2035,John R. Campbell
Eaton Vance Global Macro Absolute Return Advantage Fund Class A,1000000,Large Blend,John R. Baur
Eaton Vance Global Macro Absolute Return Advantage Fund Class R,1000000,Target-Date 2035,John R. Baur
EIC Value Fund Institutional Class,1000000,Multisector Bond,Ian T. Zabor
Parametric TABS 5-to-15 Year Laddered Municipal Bond Fund Class I,1000000,Intermediate Government,James H. Evans
Eaton Vance Maryland Municipal Income Fund Class I,1000000,Multisector Bond,Craig Brandon
Carillon ClariVest International Stock Fund Class R-3,1000000,Multisector Bond,David Vaughn
Parametric TABS Intermediate-Term Municipal Bond Fund Class C,1000000,Emerging Markets Bond,James H. Evans
Parametric Tax-Managed Emerging Markets Fund Institutional Class,1000000,Emerging Markets Bond,Thomas Seto
Eaton Vance Tax-Managed Growth 1.1 Fund Class I,1000000,Long Government,Lewis R. Piantedosi
Eaton Vance Tax-Managed Value Fund Class I,1000000,Long Government,Aaron S. Dunn
Wells Fargo Classic Value Fund - Class R6,1000000,Diversified Emerging Mkts,Bryant M. VanCronkhite
Wells Fargo Classic Value Fund - Class Inst,1000000,Diversified Emerging Mkts,James Tringas
Wells Fargo Diversified Capital Builder Fund - Class A,1000000,Multisector Bond,Margaret D. Patel
Wells Fargo Diversified Capital Builder Fund - Class C,1000000,Multisector Bond,Margaret D. Patel
Wells Fargo Diversified Capital Builder Fund - Class Admin,1000000,Multisector Bond,Margaret D. Patel
Wells Fargo Global Small Cap Fund Class Inst,1000000,Diversified Emerging Mkts,Oleg Makhorine
Wells Fargo Premier Large Company Growth Fund - Class C,1000000,Target-Date 2000-2010,Robert C. Gruendyke
Wells Fargo Premier Large Company Growth Fund - Class R6,1000000,Target-Date 2000-2010,Robert C. Gruendyke
Wells Fargo Omega Growth Fund - Class A,1000000,Emerging-Markets Local-Currency Bond,Christopher J. Warner
Wells Fargo Omega Growth Fund - Class Inst,1000000,Emerging-Markets Local-Currency Bond,Christopher J. Warner
Wells Fargo Omega Growth Fund - Class R,1000000,Emerging-Markets Local-Currency Bond,Christopher J. Warner
Wells Fargo Diversified Income Builder Fund - Class Inst,1000000,Emerging Markets Bond,Kandarp R. Acharya
Wells Fargo Precious Metals Fund - Class A,1000000,Emerging Markets Bond,Oleg A. Makhorine
Eaton Vance Growth Fund Class R,1000000,Diversified Emerging Mkts,Lewis R. Piantedosi
Ashmore Emerging Markets Corporate Income Fund Institutional Class,1000000,Real Estate,Mark Coombs
Ashmore Emerging Markets Equity Fund Institutional Class,1000000,Equity Market Neutral,Dhiren Shah
Wells Fargo Emerging Markets Equity Fund - Class A,1000000,World Bond-USD Hedged,Yi (Jerry) Zhang
MFS Emerging Markets Debt Local Currency Fund Class R4,1000000,Short-Term Bond,Ward W. Brown
Eaton Vance Municipal Opportunities Fund Class C,1000000,Preferred Stock,Adam A. Weigold
Ashmore Emerging Markets Active Equity Fund Class A,1000000,Nontraditional Bond,Fernando Assad
VanEck Emerging Markets Fund Class Z,1000000,Muni National Long,David Semple
Shelton Emerging Markets Fund Institutional Shares,1000000,Short-Term Bond,Andrew Manton
Transamerica Emerging Markets Debt Fund Class A,1000000,Preferred Stock,Scott J. Moses
Transamerica Emerging Markets Debt Fund Class C,1000000,Nontraditional Bond,Scott J. Moses
CBOE Vest S&P 500 Enhanced Growth Strategy Fund Class A Shares,1000000,World Bond-USD Hedged,Howard Rubin
CBOE Vest S&P 500 Enhanced Growth Strategy Fund Class C Shares,1000000,World Bond-USD Hedged,Howard Rubin
Cullen Enhanced Equity Income Fund Class I,1000000,Preferred Stock,Jennifer P. Chang
ERShares Global Fund Institutional Class,1000000,,Joel M. Shulman
Eaton Vance New York Municipal Opportunities Fund Class I,1000000,,Adam A. Weigold
Wells Fargo Omega Growth Fund - Class Admin,1000000,World Bond-USD Hedged,Christopher J. Warner
EuroPac International Value Fund Class A,1000000,Emerging Markets Bond,James Nelson
MainStay Epoch U.S. Equity Yield Fund Class R2,1000000,Short-Term Bond,Michael A. Welhoelter
MainStay Epoch Global Equity Yield Fund Class C,1000000,World Bond,Michael A. Welhoelter
MainStay Epoch Global Equity Yield Fund Class R6,1000000,World Bond,Michael A. Welhoelter
Mainstay Epoch Global Equity Yield Fund Class I,1000000,World Bond,Michael A. Welhoelter
MainStay Epoch Global Equity Yield Fund Class R2,1000000,World Bond,Michael A. Welhoelter
AXS Aspect Core Diversified Strategy Fund Class C,1000000,World Allocation,Anthony Todd
AXS Aspect Core Diversified Strategy Fund Class I,1000000,World Allocation,Anthony Todd
Wells Fargo Emerging Markets Equity Income Fund - Class R,1000000,World Bond-USD Hedged,Elaine Tse
MFS Equity Income Fund Class B,1000000,Corporate Bond,Jonathan W. Sage
MFS Equity Income Fund Class C,1000000,World Bond-USD Hedged,Jonathan W. Sage
Eaton Vance Richard Bernstein Equity Strategy Fund Class C,1000000,Large Growth,Richard Bernstein
Eaton Vance Richard Bernstein Equity Strategy Fund Class I,1000000,Large Growth,Richard Bernstein
Gabelli ESG Fund Class I,1000000,Small Blend,Christopher V. Marangi
Mirova Global Sustainable Equity Fund Class A,1000000,World Bond-USD Hedged,Amber Fairbanks
Eaton Vance Short Duration High Income Fund Class A,1000000,World Bond-USD Hedged,Kelley Baccei Gerrity
Eaton Vance Short Duration Strategic Income Fund Class I,1000000,Long Government,Eric A. Stein
Eventide Limited-Term Bond Fund Class A,1000000,Technology,David M. Dirk
North Square Tactical Growth Fund Class C Shares,1000000,,Paul Frank
Eventide Exponential Technologies Fund Class I Share,1000000,High Yield Bond,Anant Goel
Eventide Multi-Asset Income Fund Class I,1000000,High Yield Bond,David M. Dirk
Eaton Vance New York Municipal Income Fund Class A,1000000,High Yield Bond,Craig Robert Brandon
Eaton Vance Oregon Municipal Income Fund Class A,1000000,High Yield Muni,Adam A. Weigold
Eaton Vance Pennsylvania Municipal Income Fund Class A,1000000,High Yield Bond,Christopher J. Eustance
Eaton Vance Greater China Growth Fund Class A,1000000,High Yield Bond,June Lui
Camelot Event Driven Fund Class A,1000000,High Yield Bond,Paul K. Hoffmeister
Eaton Vance Balanced Fund Class A,1000000,High Yield Bond,Charles B. Gaffney
Manning & Napier Equity Series Class S,1000000,Diversified Emerging Mkts,Christian A. Andreach
BlackRock Sustainable Total Return Fund Class K,1000000,Foreign Large Growth,Rick Rieder
BlackRock Sustainable International Equity Fund Investor A Shares,1000000,Corporate Bond,Adam Avigdori
BlackRock Sustainable International Equity Fund Institutional Shares,1000000,World Bond,Adam Avigdori
Franklin K2 Alternative Strategies Fund Class A,1000000,Multisector Bond,Robert Christian
Fidelity Advisor Balanced Fund Class A,1000000,Multisector Bond,Jody M. Simes
Nuveen Colorado Municipal Bond Fund Class C,1000000,Multisector Bond,Christopher L. Drahn
Nuveen Missouri Municipal Bond Fund Class C,1000000,Allocation--15% to 30% Equity,Christopher L. Drahn
Fidelity Advisor Financial Services Fund Class M,1000000,Foreign Large Blend,Matt Reed
American Funds Retirement Income Portfolio - Conservative Class F-1,1000000,Foreign Large Blend,Michelle J. Black
Fidelity Advisor Growth Opportunities Fund Class M,1000000,Foreign Large Blend,Kyle Weaver
Fidelity Advisor High Income Advantage Fund Class I,1000000,Foreign Large Growth,Brian Chang
Fidelity Advisor International Discovery Fund Class A,1000000,Large Value,William J. Kennedy
Fidelity Advisor Overseas Fund Class I,1000000,Large Value,Vincent Montemaggiore
American Funds The Investment Company of America Class 529-F-3,1000000,Large Value,Martin Romo
Nuveen Dividend Value Fund Class I,1000000,High Yield Bond,David Chalupnik
FS Real Asset Fund Class A,1000000,Target-Date 2045,Michael Kelly
Fidelity Agricultural Productivity Fund,1000000,Target-Date 2045,David Wagner
Fidelity Advisor Strategic Dividend & Income Fund Class A,1000000,Target-Date 2040,Adam E. Kramer
Nuveen Mid Cap Value Fund Class A,1000000,Target-Date 2040,Karen L. Bowie
Fidelity Advisor Value Strategies Fund Class I,1000000,Target-Date 2035,Matthew Friedman
Fidelity Advisor Value Strategies Fund Class M,1000000,Target-Date 2035,Matthew Friedman
Fidelity Freedom 2020 Fund Class K6,1000000,Target-Date 2030,Andrew F. Dierdorf
Frost Total Return Bond Fund Investor Class,1000000,Target-Date 2030,Jeffery Elswick
American Funds 2045 Target Date Retirement Fund Class F-1,1000000,Intermediate Core-Plus Bond,Wesley K.-S. Phoa
Frost Municipal Bond Fund Investor Class Shares,1000000,,Jeffery Elswick
Franklin Adjustable U.S. Government Securities Fund Class R6,1000000,,Paul Varunok
Fidelity Advisor Value Fund Class A,1000000,Target-Date 2060+,Matthew Friedman
Fidelity Advisor Equity Value Fund Class M,1000000,Target-Date 2060+,Sean Gavin
Fidelity Advisor Freedom Blend 2065 Fund Class Z,1000000,Target-Date 2055,Andrew F. Dierdorf
Fidelity Advisor Freedom Blend 2065 Fund Class Z6,1000000,Target-Date 2055,Andrew F. Dierdorf
Franklin Arizona Tax Free Income Fund Class C,1000000,Target-Date 2050,Michael J. Conn
Franklin Arizona Tax Free Income Fund Class A,1000000,Target-Date 2050,Michael J. Conn
American Funds 2010 Target Date Retirement Fund Class F-2,1000000,Target-Date 2025,Wesley K.-S. Phoa
First Foundation Total Return Fund Class A,1000000,Target-Date 2025,Jim Garrison
Fidelity Blue Chip Growth K6 Fund,1000000,Target-Date 2020,Sonu Kalra
American Funds Capital Income Builder Class 529-F-2,1000000,Target-Date 2020,James L. Lovelace
American Funds 2025 Target Date Retirement Fund Class F-2,1000000,Target-Date 2015,Wesley K.-S. Phoa
American Funds 2030 Target Date Retirement Fund Class F-2,1000000,Target-Date 2015,Wesley K.-S. Phoa
Franklin Managed Income Fund Advisor Class,1000000,Target-Date Retirement,Edward Perks
Fidelity Blue Chip Growth Fund Class K,1000000,Target-Date Retirement,Sonu Kalra
Fidelity Select Communication Services Portfolio,1000000,Long-Term Bond,Matthew Drukker
Fidelity Investment Grade Bond Fund,1000000,Short-Term Bond,Jeffrey Moore
Templeton Global Bond Fund Class R6,1000000,Short-Term Bond,Michael Hasenstab
Fidelity Advisor Short-Term Bond Fund Class M,1000000,Short-Term Bond,Robert Galusza
American Funds American Balanced Fund Class 529-F-3,1000000,Short-Term Bond,Paul R. Benjamin
Fidelity Advisor Biotechnology Fund Class A,1000000,Long Government,Eirene Kontopoulos
Nuveen Strategic Income Fund Class C,1000000,Emerging-Markets Local-Currency Bond,Katherine R. Renfrew
Fidelity Corporate Bond Fund,1000000,Emerging-Markets Local-Currency Bond,David Prothro
American Funds College 2033 Fund Class 529-F-2,1000000,Long-Term Bond,Michelle J. Black
Fidelity Advisor Small Cap Growth Fund Class C,1000000,Long-Term Bond,Patrick Venanzi
Fidelity Advisor Freedom 2010 Fund Class C,1000000,Long Government,Andrew F. Dierdorf
Fidelity Advisor Freedom 2005 Fund Class C,1000000,Short-Term Bond,Andrew F. Dierdorf
Frontier MFG Core Infrastructure Fund Service Class,1000000,Intermediate Core Bond,Ben McVicar
Nuveen Minnesota Municipal Bond Fund Class C1,1000000,Intermediate Core-Plus Bond,Christopher L. Drahn
Fidelity Advisor California Municipal Income Fund Class M,1000000,Mid-Cap Growth,Elizah McLaughlin
Fidelity Conservative Income Bond Fund,1000000,Small Value,Robert Galusza
Franklin Colorado Tax Free Income Fund Class A,1000000,Small Value,Michael J. Conn
Fidelity Advisor International Capital Appreciation Fund Class I,1000000,Muni National Interm,Sammy Simnegar
Franklin California High Yield Municipal Fund Class A,1000000,Muni National Interm,John Wiley
Federated Hermes Corporate Bond Strategy Portfolio,1000000,Intermediate Core-Plus Bond,Jerome D. Conner
Nuveen Connecticut Municipal Bond Fund Class A,1000000,Intermediate Core-Plus Bond,Michael S. Hamilton
Fidelity Advisor Small Cap Value Fund Class M,1000000,Intermediate Core Bond,Derek Janssen
Templeton China World Fund Class R6,1000000,Muni National Long,Michael B. Lai
American Funds 2025 Target Date Retirement Fund Class F-3,1000000,Nontraditional Bond,Wesley K.-S. Phoa
Fidelity Advisor Capital Development Fund Class C,1000000,Nontraditional Bond,Matthew W. Fruhan
Fidelity Freedom 2055 Fund,1000000,Nontraditional Bond,Andrew F. Dierdorf
Fidelity Growth Strategies Fund,1000000,Large Growth,Jean Park
Fidelity Advisor Dividend Growth Fund Class M,1000000,Real Estate,Zachary Turner
Fidelity Advisor Freedom 2020 Fund Class I,1000000,Pacific/Asia ex-Japan Stk,Andrew F. Dierdorf
Fidelity International Discovery K6 Fund,1000000,Muni New York Intermediate,William J. Kennedy
Fidelity Freedom Index 2060 Fund Investor Class,1000000,Muni New York Intermediate,Andrew F. Dierdorf
First Eagle Fund of America Class Y,1000000,Multisector Bond,Manish Gupta
First Eagle Global Income Builder Fund Class C,1000000,Allocation--85%+ Equity,Sean Slein
FidelityAdvisor Emerging Markets Fund Class A,1000000,Nontraditional Bond,John Dance
First Eagle Fund of America Class A,1000000,Short-Term Bond,Manish Gupta
First Eagle Fund of America Class R6,1000000,Intermediate Government,Manish Gupta
First Eagle Gold Fund Class C,1000000,Short-Term Bond,Matthew McLennan
First Eagle High Income Fund Class A,1000000,Allocation--30% to 50% Equity,Edward B. Meigs
Fidelity Advisor Equity Income Fund Class A,1000000,Large Blend,John Sheehy
Fidelity Equity-Income Fund Class K,1000000,Foreign Large Blend,Ramona Persaud
"Fidelity Advisor Emerging Europe, Middle East, Africa (EMEA) Fund Class C",1000000,Target-Date 2050,Adam Kutas
Fidelity Advisor New York Municipal Income Fund Class I,1000000,Target-Date 2050,Elizah McLaughlin
Templeton Emerging Markets Bond Fund Class R6,1000000,Allocation--15% to 30% Equity,Michael Hasenstab
First Eagle Global Fund Class C,1000000,Foreign Large Value,Matthew McLennan
Fidelity SAI Real Estate Index Fund,1000000,Target-Date 2025,Deane Gyllenhaal
First Eagle Overseas Fund Class C,1000000,Target-Date 2025,Matthew McLennan
First Eagle U.S. Value Fund Class A,1000000,World Allocation,Matthew McLennan
First Eagle U.S. Value Fund Class C,1000000,World Allocation,Matthew McLennan
Franklin Global Allocation Fund Class R,1000000,Systematic Trend,Edward Perks
Fidelity Advisor Freedom 2005 Fund Class A,1000000,Systematic Trend,Andrew F. Dierdorf
First Foundation Fixed Income Class A,1000000,Systematic Trend,Calvin Jones
Fidelity Freedom Blend 2005 Premier Class,1000000,Mid-Cap Value,Andrew F. Dierdorf
American Funds Global Balanced Fund Class 529-F-3,1000000,Intermediate Core Bond,David M. Riley
Fidelity Freedom Blend 2020 Premier Class,1000000,Inflation-Protected Bond,Andrew F. Dierdorf
Fidelity Freedom Blend 2025 Premier Class,1000000,Miscellaneous Region,Andrew F. Dierdorf
American Funds The Bond Fund of America Class 529-F-2,1000000,Intermediate Core-Plus Bond,David Hoag
Fidelity Freedom Blend 2040 Premier Class,1000000,Target-Date 2060+,Andrew F. Dierdorf
Fidelity Freedom Blend 2045 Premier Class,1000000,Muni National Long,Andrew F. Dierdorf
First Foundation Fixed Income Class Y,1000000,Target-Date 2060+,Calvin Jones
Fidelity Advisor Freedom 2050 Fund Class C,1000000,Intermediate Core-Plus Bond,Andrew F. Dierdorf
Fidelity Freedom Index 2065 Fund Institutional Premium Class,1000000,High Yield Bond,Andrew F. Dierdorf
Fidelity Advisor Freedom 2005 Fund Class I,1000000,,Andrew F. Dierdorf
Fidelity Freedom Index 2060 Fund Institutional Premium Class,1000000,World Large-Stock Blend,Andrew F. Dierdorf
AB FlexFee Large Cap Growth Portfolio Advisor Class,1000000,Muni National Long,Vinay V. Thapar
Fidelity Advisor Asset Manager 40% Fund Class A,1000000,Foreign Large Growth,Geoffrey D. Stein
Fidelity Advisor Asset Manager 40% Fund Class M,1000000,Mid-Cap Growth,Geoffrey D. Stein
American Funds Preservation Portfolio Class 529-F-3,1000000,Intermediate Government,Michelle J. Black
Franklin Focused Growth Fund Class R,1000000,Inflation-Protected Bond,Matthew J. Moberg
Fidelity Freedom 2065 Fund Class K,1000000,Mid-Cap Value,Andrew F. Dierdorf
Fidelity Advisor Financial Services Fund Class I,1000000,Inflation-Protected Bond,Matt Reed
Fidelity Advisor Freedom 2015 Fund Class A,1000000,Target-Date 2055,Andrew F. Dierdorf
Fidelity Advisor Freedom 2015 Fund Class C,1000000,Target-Date 2055,Andrew F. Dierdorf
American Funds Fundamental Investors Class 529-F-2,1000000,Inflation-Protected Bond,Dina N. Perry
Franklin Georgia Tax Free Income Fund Class A,1000000,Real Estate,Michael J. Conn
Fidelity Advisor Gold Fund Class C,1000000,Muni National Interm,Steven Calhoun
Fidelity Advisor Gold Fund Class I,1000000,Inflation-Protected Bond,Steven Calhoun
Fidelity Advisor Communication Services Class M,1000000,Large Growth,Matthew Drukker
Federated Hermes Global Equity Fund Class R6 Shares,1000000,Large Blend,Geir Lode
Federated Hermes International Leaders Fund Class B Shares,1000000,Long Government,Richard M Winkowski
Federated Hermes Core Bond Class A,1000000,Small Blend,Todd A. Abraham
Fidelity Advisor Global High Income Fund Class C,1000000,Intermediate Government,Harley Lank
Fidelity Advisor Communication Services Class C,1000000,Intermediate Core Bond,Matthew Drukker
Fidelity Global High Income Fund,1000000,Emerging Markets Bond,Harley Lank
Fidelity Advisor Global High Income Fund Class M,1000000,Diversified Emerging Mkts,Harley Lank
American Funds Growth and Income Portfolio Class 529-F-3,1000000,World Bond,Michelle J. Black
Delaware Growth and Income Fund Class A,1000000,Intermediate Core-Plus Bond,Scott Thompson
Fidelity Series Large Cap Stock Fund,1000000,Small Blend,Matthew W. Fruhan
Strategic Advisers Tax-Sensitive Short Duration Fund,1000000,Muni National Short,Jonathan Duggan
Federated Hermes Government Income Securities Inc Class F Shares,1000000,Muni National Short,Liam C. O'Connell
Franklin Gold and Precious Metals Fund Class R6,1000000,Ultrashort Bond,Steve M. Land
Fidelity Advisor New Markets Income Fund Class A,1000000,Foreign Large Blend,Timothy Gill
Fidelity Advisor New Markets Income Fund Class M,1000000,Foreign Large Blend,Timothy Gill
Fidelity Advisor New Markets Income Fund Class C,1000000,Large Blend,Timothy Gill
Fidelity Advisor Freedom Blend 2010 Fund Class A,1000000,Allocation--85%+ Equity,Andrew F. Dierdorf
Fidelity Freedom Blend 2035 Fund,1000000,Trading--Inverse Equity,Andrew F. Dierdorf
Fidelity Freedom Blend 2030 Fund,1000000,Small Blend,Andrew F. Dierdorf
Fidelity Freedom Blend 2010 Fund,1000000,Small Value,Andrew F. Dierdorf
Fidelity Advisor Freedom Blend 2045 Fund Class Z,1000000,Trading--Inverse Equity,Andrew F. Dierdorf
Federated Hermes High Income Bond Fund Class R6 Shares,1000000,Large Blend,Mark E. Durbiano
Fidelity Advisor Health Care Fund Class C,1000000,Large Blend,Edward Yoon
Fidelity Advisor Health Care Fund Class I,1000000,Bank Loan,Edward Yoon
Federated Hermes Conservative Microshort Fund Institutional Shares,1000000,Bank Loan,Nicholas S. Tripodes
Delaware Hedged U.S. Equity Opportunities Fund Class R6,1000000,Trading--Inverse Equity,Gregg R. Thomas
Federated Hermes SDG Engagement Equity Fund Class A Shares,1000000,Large Blend,Hamish Galpin
Federated Hermes SDG Engagement Equity Fund Class R6 Shares,1000000,Large Blend,Hamish Galpin
Fidelity Freedom Blend 2045 Fund Class K6,1000000,Small Value,Andrew F. Dierdorf
Fidelity Advisor Freedom Blend 2040 Fund Class I,1000000,Long-Term Bond,Andrew F. Dierdorf
Fidelity Freedom Blend 2005 Fund Class K6,1000000,Foreign Large Value,Andrew F. Dierdorf
Fidelity Advisor Freedom Blend 2055 Fund Class I,1000000,Intermediate Core-Plus Bond,Andrew F. Dierdorf
Fidelity Advisor Freedom Blend 2030 Fund Class Z6,1000000,Short-Term Bond,Andrew F. Dierdorf
Fidelity Freedom Blend Income Fund Class K6,1000000,Short-Term Bond,Andrew F. Dierdorf
Fidelity Advisor Freedom Blend 2035 Fund Class Z,1000000,Large Blend,Andrew F. Dierdorf
Federated Hermes Global Small Cap Fund Class R6 Shares,1000000,Intermediate Core-Plus Bond,Hamish Galpin
Federated Hermes Opportunistic High Yield Bond Fund Institutional Shares,1000000,Intermediate Core-Plus Bond,Mark E. Durbiano
Fidelity Advisor Freedom Blend 2035 Fund Class C,1000000,Intermediate Core-Plus Bond,Andrew F. Dierdorf
Fidelity Advisor Freedom Blend 2050 Fund Class Z,1000000,Ultrashort Bond,Andrew F. Dierdorf
Fidelity Advisor Freedom Blend 2020 Fund Class Z6,1000000,Foreign Large Value,Andrew F. Dierdorf
Fidelity Freedom Blend 2050 Fund Class K,1000000,Ultrashort Bond,Andrew F. Dierdorf
Fidelity Advisor Freedom Blend 2015 Fund Class Z6,1000000,Ultrashort Bond,Andrew F. Dierdorf
Franklin High Yield Tax Free Income Fund Class C,1000000,Intermediate Core-Plus Bond,James Conn
Franklin High Yield Tax Free Income Fund Class A,1000000,Intermediate Core-Plus Bond,James Conn
Federated Hermes High-Yield Strategy Portfolio,1000000,Intermediate Core-Plus Bond,Steven J. Wagner
Federated Hermes Opportunistic High Yield Bond Fund Service Shares,1000000,Intermediate Core Bond,Mark E. Durbiano
Fidelity Advisor International Growth Fund Class A,1000000,High Yield Muni,Jed Weiss
Fidelity Flex U.S. Bond Index Fund,1000000,Nontraditional Bond,Brandon Bettencourt
Fidelity Advisor International Capital Appreciation Fund Class Z,1000000,Nontraditional Bond,Sammy Simnegar
"Fidelity Advisor Emerging Europe, Middle East, Africa (EMEA) Fund Class I",1000000,Nontraditional Bond,Adam Kutas
